70-2F-86; 702F86; Marquardt GmbH; Schloss-Strasse 16; 78604; DE
A8-88-1F; A8881F; SERVERCOM (INDIA) PRIVATE LIMITED; E-43/1 OKHLA INDUSTRIAL AREA PHASE-II NEW DELHI SOUTH DELHI; NA; IN
60-1B-52; 601B52; Vodafone Italia S.p.A.; Via Lorenteggio nr. 240; 20147; IT
C0-8F-20; C08F20; Shenzhen Skyworth Digital Technology CO., Ltd; 4F,Block A, Skyworth?Building,; 518057; CN
08-FF-24; 08FF24; Shenzhen Skyworth Digital Technology CO., Ltd; 4F,Block A, Skyworth?Building,; 518057; CN
90-B6-7A; 90B67A; Shenzhen Skyworth Digital Technology CO., Ltd; 4F,Block A, Skyworth?Building,; 518057; CN
24-9A-C8; 249AC8; Shenzhen Skyworth Digital Technology CO., Ltd; 4F,Block A, Skyworth?Building,; 518057; CN
28-C0-1B; 28C01B; Shenzhen Skyworth Digital Technology CO., Ltd; 4F,Block A, Skyworth?Building,; 518057; CN
00-50-79; 005079; Private; Private; Private; Private
E0-28-B1; E028B1; Shenzhen Skyworth Digital Technology CO., Ltd; 4F,Block A, Skyworth?Building,; 518057; CN
30-31-80; 303180; Shenzhen Skyworth Digital Technology CO., Ltd; 4F,Block A, Skyworth?Building,; 518057; CN
38-A8-51; 38A851; Quickset Defense Technologies, LLC; 3650 Woodhead Drive; 60062; US
04-36-B8; 0436B8; I&C Technology; I&C Building, 24, Pangyo-ro 255beon-gil, Bundang-gu; 13486; KR
D0-43-1E; D0431E; Dell Inc.; One Dell Way; 78682; US
20-47-47; 204747; Dell Inc.; One Dell Way; 78682; US
F0-A0-B1; F0A0B1; HUAWEI TECHNOLOGIES CO.,LTD; No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park; 523808; CN
40-4F-42; 404F42; HUAWEI TECHNOLOGIES CO.,LTD; No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park; 523808; CN
30-86-F1; 3086F1; Fiberhome Telecommunication Technologies Co.,LTD; No.5 DongXin Road; 430074; CN
84-7B-EB; 847BEB; Dell Inc.; One Dell Way; 78682; US
98-90-96; 989096; Dell Inc.; One Dell Way; 78682; US
80-18-44; 801844; Dell Inc.; One Dell Way; 78682; US
98-40-BB; 9840BB; Dell Inc.; One Dell Way; 78682; US
D4-81-D7; D481D7; Dell Inc.; One Dell Way; 78682; US
00-B0-D0; 00B0D0; Dell Inc.; One Dell Way; 78682; US
00-19-B9; 0019B9; Dell Inc.; One Dell Way; 78682; US
00-1A-A0; 001AA0; Dell Inc.; One Dell Way,  MS RR5-45; 78682; US
00-25-64; 002564; Dell Inc.; One Dell Way, MS RR5-45; 78682; US
A4-BA-DB; A4BADB; Dell Inc.; One Dell Way, MS RR5-45; 78682; US
00-1C-23; 001C23; Dell Inc.; One Dell Way,  MS RR5-45; 78682; US
11-00-AA; 1100AA; Private; Private; Private; Private
9C-93-E4; 9C93E4; Private; Private; Private; Private
78-2B-CB; 782BCB; Dell Inc.; One Dell Way; 78682; US
14-FE-B5; 14FEB5; Dell Inc.; One Dell Way; 78682; US
18-03-73; 180373; Dell Inc.; One Dell Way; 78682; US
74-86-7A; 74867A; Dell Inc.; One Dell Way; 78682; US
A4-1F-72; A41F72; Dell Inc.; One Dell way; 78682; US
00-C0-4F; 00C04F; Dell Inc.; 1807 WEST BRAKER LANE-BLDG.; 78758-3610; US
00-0B-DB; 000BDB; Dell Inc.; One Dell Way; 78682; US
00-12-3F; 00123F; Dell Inc.; One Dell Way; 78682; US
00-CB-00; 00CB00; Private; Private; Private; Private
44-20-63; 442063; Continental Automotive Technologies GmbH; Siemensstr. 12; 93055; DE
